Date,Open,High,Low,Close,Volume,Adj Close
2016-12-05,757.710022,763.900024,752.900024,762.52002,1382900,762.52002
2016-12-02,744.590027,754.00,743.099976,750.50,1448700,750.50
2016-12-01,757.440002,759.849976,737.025024,747.919983,2996900,747.919983
2016-11-30,770.070007,772.98999,754.830017,758.039978,2365800,758.039978
2016-11-29,771.530029,778.50,768.23999,770.840027,1604500,770.840027
2016-11-28,760.00,779.530029,759.799988,768.23999,2172200,768.23999
2016-11-25,764.26001,765.00,760.52002,761.679993,586000,761.679993
2016-11-23,767.72998,768.28302,755.25,760.98999,1477400,760.98999
2016-11-22,772.630005,776.960022,767.00,768.27002,1591800,768.27002
2016-11-21,762.609985,769.700012,760.599976,769.200012,1323000,769.200012
2016-11-18,771.369995,775.00,760.00,760.539978,1526200,760.539978
2016-11-17,766.919983,772.700012,764.22998,771.22998,1287000,771.22998
2016-11-16,755.200012,766.359985,750.51001,764.47998,1465200,764.47998
2016-11-15,746.969971,764.416016,746.969971,758.48999,2341200,758.48999
2016-11-14,755.599976,757.849976,727.539978,736.080017,3631700,736.080017
2016-11-11,756.539978,760.780029,750.380005,754.02002,2394000,754.02002
2016-11-10,791.169983,791.169983,752.179993,762.559998,4740100,762.559998
2016-11-09,779.940002,791.22699,771.669983,785.309998,2602700,785.309998
2016-11-08,783.400024,795.632996,780.190002,790.51001,1350800,790.51001
2016-11-07,774.50,785.190002,772.549988,782.52002,1585100,782.52002
